Record,1,Andaman and Nicobar Islands,33,33,0
Record,2,Andhra Pradesh,3679,2349,62
Record,3,Arunachal Pradesh,4,1,0
Record,4,Assam,1272,185,4
Record,5,Bihar,3815,1710,21
Record,6,Chandigarh,293,199,4
Record,7,Chhattisgarh,498,115,1
Record,8,Dadar Nagar Haveli,2,0,0
Record,9,Delhi,19844,8478,473
Record,10,Goa,70,42,0
Record,11,Gujarat,16779,9919,1038
Record,12,Haryana,2091,1048,20
Record,13,Himachal Pradesh,331,120,5
Record,14,Jammu and Kashmir,2446,927,28
Record,15,Jharkhand,610,256,5
Record,16,Karnataka,3221,1218,51
Record,17,Kerala,1269,590,9
Record,18,Ladakh,74,43,0
Record,19,Madhya Pradesh,8089,4842,350
Record,20,Maharashtra,67655,29329,2286
Record,21,Manipur,71,11,0
Record,22,Meghalaya,27,12,1
Record,23,Mizoram,1,1,0
Record,24,Nagaland,43,0,0
Record,25,Odisha,1948,1126,7
Record,26,Puducherry,70,25,0
Record,27,Punjab,2263,1987,45
Record,28,Rajasthan,8831,5927,194
Record,29,Sikkim,1,0,0
Record,30,Tamil Nadu,22333,12757,173
Record,31,Telangana,2698,1428,82
Record,32,Tripura,313,173,0
Record,33,Uttarakhand,907,102,5
Record,34,Uttar Pradesh,7823,4709,213
Record,35,West Bengal,5501,2157,317
Record,36,Andaman and Nicobar Islands,33,33,0
Record,37,Andhra Pradesh,3783,2378,64
Record,38,Arunachal Pradesh,22,1,0
Record,39,Assam,1390,277,4
Record,40,Bihar,3926,1900,24
Record,41,Chandigarh,294,199,4
Record,42,Chhattisgarh,547,122,1
Record,43,Dadar Nagar Haveli,3,1,0
Record,44,Delhi,20834,8746,523
Record,45,Goa,71,42,0
Record,46,Gujarat,17200,10780,1063
Record,47,Haryana,2356,1055,21
Record,48,Himachal Pradesh,340,122,5
Record,49,Jammu and Kashmir,2601,946,31
Record,50,Jharkhand,659,296,5
Record,51,Karnataka,3408,1328,52
Record,52,Kerala,1326,608,10
Record,53,Ladakh,77,43,0
Record,54,Madhya Pradesh,8283,5003,358
Record,55,Maharashtra,70013,30108,2362
Record,56,Manipur,83,11,0
Record,57,Meghalaya,27,12,1
Record,58,Mizoram,1,1,0
Record,59,Nagaland,43,0,0
Record,60,Odisha,2104,1245,7
Record,61,Puducherry,74,25,0
Record,62,Punjab,2301,2000,45
Record,63,Rajasthan,8980,6040,198
Record,64,Sikkim,1,0,0
Record,65,Tamil Nadu,23495,13170,184
Record,66,Telangana,2792,1491,88
Record,67,Tripura,420,173,0
Record,68,Uttarakhand,958,222,6
Record,69,Uttar Pradesh,8075,4843,217
Record,70,West Bengal,5772,2306,325
Record,71,Andaman and Nicobar Islands,33,33,0
Record,72,Andhra Pradesh,3898,2421,64
Record,73,Arunachal Pradesh,22,1,0
Record,74,Assam,1513,324,4
Record,75,Bihar,4155,1946,24
Record,76,Chandigarh,301,214,5
Record,77,Chhattisgarh,564,130,1
Record,78,Dadar Nagar Haveli,4,1,0
Record,79,Delhi,22132,9243,556
Record,80,Goa,79,57,0
Record,81,Gujarat,17617,11894,1092
